Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
19.01.2024;K232156;Rapid ASPECTS (v3);iSchemaView, Inc.;Radiology;POK;K200760
19.01.2024;K233728;SIGNA Champion;GE Healthcare (Tianjin) Company Limited;Radiology;LNH;K192426
18.01.2024;K232698;NemoScan;Software Nemotec S.L.;Radiology;QIH;K130724
17.01.2024;K231871;Radify Triage;Envisionit DeepAI Ltd;Radiology;QFM;K211733
16.01.2024;K233512;Rapid (6.0);iSchemaView, Inc.;Radiology;QIH;K213165
13.01.2024;K233216;CLEWICU System;Clew Medical Ltd.;Cardiovascular;QNL;K200717
12.01.2024;K233964;"GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US)";Cosmo Artificial Intelligence - AI Ltd;Gastroenterology-Urology;QNP;K231143
12.01.2024;K233677;Biograph VK10;Siemens Medical Solutions USA, Inc.;Radiology;KPS;K211373，K193178 ，K222172
11.01.2024;K232250;SurgiCount+ System;Stryker Instruments;General Hospital;PBZ;K163507
08.01.2024;K232412;LungQ v3.0.0;Thirona BV;Radiology;JAK;K173821
08.01.2024;K231324;DASI Dimensions (V1.0);DASI Simulations;Radiology;QIH;K153736
07.01.2024;K231068;autoSCORE;Holberg EEG AS;Neurology;OMB;K171720，K151929
05.01.2024;K231917;VEA Align;EOS imaging;Radiology;QIH;K172346
04.01.2024;K232808;Butterfly iQ3 Ultrasound System;Butterfly Network, Inc.;Radiology;IYN;K220068
03.01.2024;K231779;REMI AI Discrete Detection Module;Epitel, Inc.;Neurology;OMB;K182181
26.12.2023;K231130;TumorSight Viz;SimBioSys, Inc.;Radiology;QIH;K092954
22.12.2023;K231805;qXR-LN;Qure.ai Technologies;Radiology;MYN;K201560
22.12.2023;K232535;"MAGNETOM Sola; MAGNETOM Altea";Siemens Medical Solutions USA, Inc.;Radiology;LNH;K221733
22.12.2023;K232479;ART-Plan;TheraPanacea;Radiology;MUJ;K212294
21.12.2023;K233112;HM70 EVO Diagnostic Ultrasound System;Samsung Medison CO., LTD.;Radiology;IYN;K220269，K223387，K190476
20.12.2023;K230850;United Orthopedic Knee Patient Specific Instrumentation;Enhatch, Inc.;Orthopedic;OOG;K171269，K211244
20.12.2023;K233176;uOmnispace.MI;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LLZ;K192630
18.12.2023;K231587;MAGNETOM Cima.X;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K213693
18.12.2023;K231929;iQ-solutions;Sydney Neuroimaging Analysis Centre Pty Ltd;Radiology;QIH;K192130
15.12.2023;K230751;EW10-EC02 Endoscopy Support Program;FUJIFILM Corporation;Gastroenterology-Urology;QNP;K211951
15.12.2023;K232384;Videa Dental Assist;VideaHealth, Inc.;Radiology;MYN;K213795
14.12.2023;K231570;StrokeViewer Perfusion;NICo-Lab B.V.;Radiology;LLZ;K182130
13.12.2023;K232237;Tyto Insights for Wheeze Detection;Tyto Care Ltd.;Anesthesiology;PHZ;K221614
13.12.2023;K232231;QP-Brain®;Quibim S.L.;Radiology;QIH;K170981
11.12.2023;K232096;Transpara Density 1.0.0;Screenpoint Medical B.V.;Radiology;QIH;K182310
08.12.2023;K223757;Bonelogic;Disior Ltd;Radiology;LLZ;K203290
08.12.2023;K231898;DTX Studio Clinic (4.0);Nobel Biocare AB;Radiology;LLZ;K221921，K213562, K163122
07.12.2023;K232661;Myocardial Strain Software Application;Circle Cardiovascular Imaging;Radiology;LLZ;K120135
07.12.2023;K232381;LOGIQ Totus;GE Medical Systems Ultrasound and Primary care Diagnostics,;Radiology;IYN;K211524, K202035, K200743
06.12.2023;K233334;Aquilion Serve SP (TSX-307B/1) V1.3;Canon Medical Systems Corporation;Radiology;JAK;K231281,K192832
06.12.2023;K233562;LINQ II Insertable Cardiac Monitor;Medtronic, Inc.;Cardiovascular;MXD;K233320
05.12.2023;K232440;Adravision Perio;Adra Corporation;Radiology;QIH;K210187
05.12.2023;K233568;Ceevra Reveal 3+;Ceevra, Inc.;Radiology;QIH;K222676
