Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
06.04.2023;K222360;AI-Rad Companion (Cardiovascular);Siemens Medical Solutions U.S.A.;Radiology;JAK;K183268
05.04.2023;K223630;Reveal LINQ Insertable Cardiac Monitor, LINQ II Insertable Cardiac Monitor, AccuRhythm AI ECG Classification System;Medtronic, Inc.;Cardiovascular;MXD;K210484
03.04.2023;K223240;Annalise Enterprise CTB Triage Trauma;Annalise-AI Pty Ltd;Radiology;QAS;K211179
31.03.2023;K220068;Butterfly iQ/iQ+ Ultrasound System;Butterfly Network, Inc.;Radiology;IYO;K202406
31.03.2023;K213272;Formus Hip;Formus Labs, Ltd;Radiology;QIH;K182464
29.03.2023;K222312;RayStation 12A;RaySearch Laboratories AB (publ);Radiology;MUJ;K220141
28.03.2023;K223343;"MAGNETOM Amira; MAGNETOM Sempra";Siemens Medical Solutions USA Inc.;Radiology;LNH;K183221
28.03.2023;K222179;Annalise Enterprise CXR Triage Trauma;Annalise-AI Pty Ltd;Radiology;QFM;"K213941; K211803"
28.03.2023;K222174;RadioLens v1.0;Synapsica;Radiology;QIH;K221632
28.03.2023;K222268;Annalise Enterprise CXR Triage Trauma;Annalise-AI Pty Ltd;Radiology;QFM;K213941
28.03.2023;K221921;DTX Studio Clinic 3.0;Nobel Biocare AB;Radiology;MYN;"K213795; K210365"
27.03.2023;K222746;Overjet Caries Assist;Overjet, Inc.;Radiology;MYN;K212519
22.03.2023;K222036;MPXA-2000;Medipixel, Inc.;Radiology;QIH;K112807
21.03.2023;K223490;FlightPlan for Embolization;GE Medical Systems SCS;Radiology;LLZ;K193261
17.03.2023;K223443;Viz AAA;Viz. ai, Inc.;Radiology;QFM;K213319
17.03.2023;K223073;Alio;Alio, Inc.;Cardiovascular;DRG;K211365
17.03.2023;K221772;NeuroRPM;New Touch Digital Inc.;Neurology;GYD;K161717
10.03.2023;K223325;uMI Panorama;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K172143
09.03.2023;K223514;Spectral Bone Marrow;GE Medical Systems, LLC;Radiology;JAK;K121827
09.03.2023;K221706;AccuContour;Manteia Technologies Co., Ltd.;Radiology;QKB;K191928
07.03.2023;K223726;Aquilion Precision (TSX-304A/4) V10.14 with AiCE;Canon Medical Systems Corporation;Radiology;JAK;K220986
03.03.2023;K222819;Aquilion Serve (TSX-307A/1) V1.2 with AiCE-i;Canon Medical Systems Corporation;Radiology;JAK;K201836
02.03.2023;K222884;Rapid NCCT Stroke;iSchemaView, Inc.;Radiology;QAS;K200855
02.03.2023;K222176;BoneView;Gleamer;Radiology;QBS;K212365
01.03.2023;K221680;Xeleris V Processing and Review System;GE Healthcare;Radiology;LLZ;K201103
24.02.2023;K221592;AVIEW Lung Nodule CAD;Coreline Soft Co.,Ltd.;Radiology;OEB;K203258
23.02.2023;K221564;Brainomix 360 e-ASPECTS;Brainomix Limited;Radiology;POK;K200760
23.02.2023;K222579;Belun Sleep System BLS-100;Belun Technology Company Limited;Anesthesiology;MNR;K220028
22.02.2023;K230208;Swoop® Portable MR Imaging System;Hyperfine, Inc.;Radiology;LNH;K223247
22.02.2023;K230197;BoneMRI v1.6;MRIguidance B.V.;Radiology;QIH;K221762
16.02.2023;K222755;uMR 680;Shanghai United Imaging Intelligence Co., Ltd.;Radiology;LNH;K201540
16.02.2023;K223028;uCT ATLAS Astound with uWS-CT-Dual Energy Analysis;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;JAK;K203448
15.02.2023;K222389;ZEUS System;iRhythm Technologies, Inc.;Cardiovascular;DQK;K202527
13.02.2023;K223387;V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;"K220975; K221117; K210068; K220043"
13.02.2023;K223439;SIGNA Victor;GE Healthcare (Tianjin) Company Limited;Radiology;LNH;"K143251; K211980"
06.02.2023;K223296;Videa Perio Assist;VideaHealth, Inc.;Radiology;QIH;K210187
02.02.2023;K222803;Oncospace;Oncospace, Inc.;Radiology;MUJ;K202284
01.02.2023;K230020;BriefCase;Aidoc Medical, Ltd.;Radiology;QFM;K202992
01.02.2023;K222970;LVivo IQS;DiA Imaging Analysis Ltd;Radiology;QIH;K210053
01.02.2023;K223396;Rapid RV/LV;iSchema View Inc.;Radiology;QIH;K203256
27.01.2023;K221868;QOCA image Smart CXR Image Processing System;Quanta Computer Inc.;Radiology;QFM;K190362
23.01.2023;K222406;Clarius AI;Clarius Mobile Health Corp.;Radiology;QIH;K200232
21.01.2023;K223516;VX1+;Volta Medical;Cardiovascular;DQK;K201298
18.01.2023;K222593;TruPlan Computed Tomography (CT) Imaging Software;Circle Cardiovascular Imaging, Inc.;Radiology;LLZ;"K202212; K153736"
13.01.2023;K223502;MR Diffusion Perfusion Mismatch V1.0;Olea Medical;Radiology;LLZ;K152602
12.01.2023;K222458;AIBOLIT 3D+;Aibolit Technologies, LLC;Radiology;LLZ;"K211443; K173274"
11.01.2023;K223738;Alpha Control Liner System (ACLS);Coapt;Neurology;GXY;K191083
23.12.2022;K223442;MR 5300 and MR 7700 R11 MR Systems;Philips Medical Systems Nederlands B.V.;Radiology;LNH;"K213583; K213516; K212673"
23.12.2022;K214036;AVIEW;Coreline Soft Co.,Ltd.;Radiology;QIH;K200714
22.12.2022;K223311;Philips CT 3500;Philips Healthcare (Suzhou) Co., Ltd;Radiology;JAK;"K212441; K211168"
16.12.2022;K220928;Overjet Calculus Assist;Overjet Inc.;Radiology;MYN;P980025
16.12.2022;K222275;Saige-Density;DeepHealth, Inc.;Radiology;QIH;K192973
16.12.2022;K223268;BrainInsight;Hyperfine, Inc.;Radiology;QIH;K220815
06.12.2022;K223247;Swoop Portable MR Imaging System;Hyperfine, Inc.;Radiology;LNH;K221923
05.12.2022;K222692;BriefCase;Aidoc Medical, Ltd.;Radiology;QFM;K192901
01.12.2022;K220786;STAR Apollo Mapping System;Rhythm Al, Ltd;Cardiovascular;DQK;K201298
22.11.2022;K221716;CINA;AVICENNA.AI;Radiology;QAS;K200855
22.11.2022;K221624;Avenda Health AI Prostate Cancer Planning Software;Avenda Health, Inc.;Radiology;POK;DEN170022
21.11.2022;K223032;SIS System (Version 5.6.0);Surgical Information Sciences, Inc.;Radiology;QIH;K210071
18.11.2022;K221330;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
16.11.2022;K221762;BoneMRI v1.4;MRlguidance B.V.;Radiology;QIH;K202404
14.11.2022;K222428;Syngo Dynamics (Version VA40F);Siemens Medical Solutions USA, Inc.;Radiology;QIH;K220832
10.11.2022;K220408;AVIEW RT ACS;Coreline Soft Co.,Ltd;Radiology;QKB;K182624
10.11.2022;K221183;AEYE-DS;AEYE Health, Inc.;Ophthalmic;PIB;DEN180001
08.11.2022;K221552;EFAI ChestSuite XR Pneumothorax Assessment System;Ever Fortune AI Co., Ltd.;Radiology;QFM;K191556
03.08.2022;K221432;Customize;3D-Side SA;Radiology;QIH;K213779
16.03.2022;K213779;Customize;3D-Side SA;Radiology;QIH;K210556
22.07.2022;K220624;AI4CMR v1.0;AI4MedImaging Medical Solutions S.A.;Radiology;LLZ;K203256
07.10.2022;K220709;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
28.09.2022;K222329;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K210237
26.08.2022;K222277;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
03.06.2022;K221314;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
17.05.2022;K221240;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
26.04.2022;K213886;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
21.03.2022;K213721;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;K203508
14.03.2022;K214043;BriefCase;Aidoc Medical, Ltd.;Radiology;QFM;K191556
25.05.2022;K220416;SwiftMR;AIRS Medical Inc.;Radiology;LLZ;K210999
26.04.2022;K212662;AliveCor QT Service;AliveCor, Inc.;Cardiovascular;DQK;K212662
24.02.2022;K213941;Annalise Enterprise CXR Triage Pneumothorax;Annalise-AI;Radiology;QFM;K191556
03.06.2022;K213971;Atrial Fibrillation History Feature;Apple Inc.;Cardiovascular;QDB;K212516
14.03.2022;K203744;Arterys MICA;Arterys Inc.;Radiology;QIH;K192437
22.03.2022;K200828;Athelas Home;Athelas Inc.;Hematology;GKZ;K200828
02.06.2022;K220164;Rayvolve;AZmed SAS;Radiology;QBS;K193417
12.09.2022;K220986;Aquilion Precision (TSX-304A/4) V10.10 with AiCE;Canon Medical Systems Corporation;Radiology;JAK;K182901
16.06.2022;K213504;Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A;Canon Medical Systems Corporation;Radiology;JAK;K203225 ,K203312
08.04.2022;K220192;Vantage Galan 3T, MRT-3020, V8.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K213305 ,K212056
22.03.2022;K212960;Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5;Canon Medical Systems Corporation;Radiology;IYN;K202364
08.04.2022;K212274;INT Contour;Carina Medical LLC;Radiology;MUJ;K141248
30.09.2022;K211611;QIR Suite;CASIS Cardiac Simulation & Imaging Software;Radiology;QIH;K163076
28.07.2022;K213998;cvi42 Auto Imaging Software Application;Circle Cardiovascular Imaging Inc;Radiology;QIH;K082628,K141480,K111373
06.04.2022;K203783;ClariPulmo;ClariPi Inc.;Radiology;LLZ;K103480
08.08.2022;K213645;ClearPoint Maestro Brain Model;ClearPoint Neuro, Inc.;Radiology;QIH;K061855
31.05.2022;K220766;eMurmur Heart AI;CSD Labs GmbH;Cardiovascular;DQD;K181988
12.05.2022;K220105;Saige-Dx;DeepHealth, Inc.;Radiology;QDQ;K181704
17.06.2022;K213037;IDx-DR v2.3;Digital Diagnostics Inc.;Ophthalmic;PIB;K203629
20.07.2022;K220956;Libby Echo:Prio;Dyad Medical, Inc;Radiology;QIH;K173780
08.06.2022;K213882;EarliPoint System;EarliTec Diagnostics, Inc.;Neurology;QPF;DEN200069
29.06.2022;K213794;Eko Murmur Analysis Software (EMAS);Eko Devices, Inc.;Cardiovascular;DQD;K181988,K192004
17.06.2022;K221463;ElucidVivo A.3;Elucid Bioimaging Inc.;Radiology;LLZ;K183012
04.04.2022;K212624;EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System;Ever Fortune. AI Co., Ltd.;Radiology;QIH;K203256
08.09.2022;K222076;EFAI ChestSuite XR Pleural Effusion Assessment System;Ever Fortune.AI Co., Ltd.;Radiology;QFM;K192320
28.04.2022;K220264;EFAI RTSuite CT HN-Segmentation System;Ever Fortune.AI Co., Ltd.;Radiology;QKB;K191928
29.04.2022;K220590;aPROMISE X;EXINI Diagnostics AB;Radiology;LLZ;K211655
14.07.2022;K221203;AHI System;Fifth Eye Inc.;Cardiovascular;QNV;K221203
29.07.2022;K220961;Deep Learning Image Reconstruction;GE Healthcare Japan Corporation;Radiology;JAK;K183202
27.06.2022;K220848;Venue Fit;GE Medical Systems;Radiology;IYN;K203137
27.06.2022;K220851;Venue;GE Medical Systems;Radiology;IYN;K202132
11.03.2022;K213725;CardIQ Suite;GE Medical Systems SCS;Radiology;JAK;K020929
18.07.2022;K221148;Vivid iq;GE Medical Systems Ultrasound & Primary Care Diagnostics LLC;Radiology;IYN;K200708
22.07.2022;K220882;Vivid E80, Vivid E90, Vivid E95;GE Medical Systems Ultrasound and;Radiology;IYN;K202658
21.06.2022;K220800;Venue Go;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K202233
22.07.2022;K220940;EchoPAC Software Only, EchoPAC Plug-in;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;QIH;K200852
18.07.2022;K221147;Vivid T8, Vivid T9;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K200851
15.07.2022;K220619;Vivid S60N, Vivid S70N;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K211216
06.06.2022;K220358;Voluson Expert 22, Voluson Expert 20, Voluson Expert 18;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K201768
11.05.2022;K220446;Versana Balance;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K191792
18.02.2022;K213999;Deep Learning Image Reconstruction;GE Medical Systems, LLC.;Radiology;JAK;K183202
08.06.2022;K213717;AIR Recon DL;GE Medical Systems,LLC (GE Healthcare);Radiology;LNH;K193282
01.03.2022;K212365;BoneView;Gleamer;Radiology;QBS;K193417
06.07.2022;K210069;Minuteful - kidney test;Healthy.io Ltd.;Clinical Chemistry;JIR;K141874
14.10.2022;K213857;HeartFlow Analysis;HeartFlow, Inc.;Cardiovascular;PJA;K203329 , K122429 , K213857
29.07.2022;K213760;ABMD Software;HeartLung Corporation;Radiology;KGI;K894854
06.10.2022;K221449;Genius AI Detection 2.0;Hologic, Inc.;Radiology;QDQ;K201019
28.07.2022;K221923;Swoop Portable MR Imaging System;Hyperfine, Inc.;Radiology;LNH;K201722/K221393
19.07.2022;K220815;BrainInsight;Hyperfine, Inc.;Radiology;QIH;K202414
10.06.2022;K221393;Swoop Portable MR Imaging System;Hyperfine, Inc.;Radiology;LNH;K212456
20.09.2022;K213353;Aorta-CAD;Imagen Technologies, Inc;Radiology;MYN;K210666
19.07.2022;K213409;ZEUS System (Zio Watch);iRhythm Technologies, Inc.;Cardiovascular;DQK;K202527
12.09.2022;K221456;Rapid ICH;iSchemaView Inc.;Radiology;QAS;K193087
31.05.2022;K221248;Rapid LVO;iSchemaView Inc.;Radiology;QAS;K200941
17.05.2022;K220499;Rapid PE Triage and Notification (PETN);iSchemaView Inc.;Radiology;QAS;K190072
12.08.2022;K213686;SKOUT Software;Iterative Scopes Inc.;Gastroenterology-Urology;QNP;DEN200055
01.04.2022;K213657;DEEPVESSEL FFR;KeyaMed NA Inc.;Cardiovascular;PJA;K161772
29.09.2022;K220080;CogNet QmTRIAGE;MedCognetics, Inc.;Radiology;QFM;K200905
18.10.2022;K221632;Spine CAMP;Medical Metrics, Inc.;Radiology;QIH;K022585
27.07.2022;K210822;DeepRhythmAI;Medicalgorithmics S.A.;Cardiovascular;DQK;K182344
25.08.2022;K221962;LINQ II Insertable Cardiac Monitor;Medtronic, Inc.;Cardiovascular;MXD;K200795
06.05.2022;K211966;Segment 3DPrint;Medviso AB;Radiology;LLZ;K183105
03.05.2022;K212915;MVision AI Segmentation;MVision AI;Radiology;QKB;K181572
22.04.2022;K213944;HealthOST;NanoxAI Ltd.;Radiology;JAK;K193267
27.09.2022;K221738;NS-HGlio;Neosoma Inc.;Radiology;QIH;K170981
21.09.2022;K221179;SomnoMetry;Neumetry Medical Inc;Neurology;OLZ;K162627
10.05.2022;K212519;Overjet Caries Assist;Overjet, Inc.;Radiology;MYN;P980025
29.04.2022;K220899;Oxehealth Vital Signs;Oxehealth Limited;Cardiovascular;QME;K211906
05.10.2022;K221892;VISIONAIR;PacificMD Biotech Llc;Anesthesiology;BXQ;K170071 K970247
04.03.2022;K210365;Second Opinion;Pearl Inc.;Radiology;MYN;P980025
06.09.2022;K213960;LiverMultiScan v5 (LMSv5);Perspectum;Radiology;LNH;K202170 K043271
27.04.2022;K212441;Philips Incisive CT;Philips Healthcare (Suzhou) Co., Ltd.;Radiology;JAK;K160743 K180015
16.05.2022;K213583;Achieva, Ingenia, Ingenia CX, Ingenia Elition and Ingenia Ambition MR Systems;Philips Medical Systems Nederland B.V.;Radiology;LNH;K193215
05.04.2022;K214081;MRCAT Head & Neck;Philips Oy;Radiology;MUJ;K193109 K013644
13.05.2022;K221106;Quantib Prostate;Quantib BV;Radiology;LLZ;K202501
24.08.2022;K220598;AutoContour Model RADAC V2;Radformation, Inc.;Radiology;QKB;K200323 K213976
15.04.2022;K220141;RayStation 11B;RaySearch Laboratories AB (publ);Radiology;MUJ;K211867
10.03.2022;K213566;ClearRead Xray Pneumothorax;Riverain Technologies, Inc.;Radiology;QFM;K193300
05.04.2022;K220043;HERA W10 Diagnostic Ultrasound System, HERA W9 Diagnostic Ultrasound System;Samsung Medison Co., LTD;Radiology;IYN;K211824
22.08.2022;K221599;HS40 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K210426 K220269 K211945
29.06.2022;K220975;V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K211945 K210068
08.07.2022;K212783;ProstatID;ScanMed, LLC;Radiology;QDQ;K193229
03.05.2022;K220013;X100HT with Slide Loader with Full Field Peripheral Blood Smear (PBS) Application;Scopio Labs Ltd.;Hematology;JOY;K201301
03.08.2022;K221347;Transpara 1.7.2;ScreenPoint Medical B.V.;Radiology;QDQ;K210404
27.10.2022;K220332;uMR Omega with uWS-MR-MRS;Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;LNH;K193200 K192601 K193176
11.08.2022;K213713;AI-Rad Companion (Pulmonary);Siemens Healthcare GmBh;Radiology;JAK;K183271
15.04.2022;K213706;AI-Rad Companion Brain MR;Siemens Healthcare GmBh;Radiology;QIH;K193290
07.09.2022;K220783;syngo.via RT Image Suite;Siemens Medical Solutions USA Inc.;Radiology;MUJ;K211379 K123584
29.04.2022;K220939;MAGNETOM Lumina and MAGNETOM Vida Fit with syngo MR XA50A;Siemens Medical Solutions USA Inc.;Radiology;LNH;K203443 K192924
14.10.2022;K221305;AI-Rad Companion Organs RT;Siemens Medical Solutions USA, Inc;Radiology;QKB;K193562 K213976
20.10.2022;K222361;AI-Rad Companion (Musculoskeletal);Siemens Medical Solutions USA, Inc.;Radiology;JAK;K193267
13.09.2022;K221733;MAGNETOM Sola, MAGNETOM Altea, MAGNETOM Sola Fit;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K213693
19.08.2022;K222172;MI View&GO;Siemens Medical Solutions USA, Inc.;Radiology;QIH;K201202 K211459
13.07.2022;K221727;syngo.CT Extended Functionality;Siemens Medical Solutions USA, Inc.;Radiology;JAK;K214019
24.06.2022;K220575;MAGNETOM Free.Max, MAGNETOM Free.Star;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K210611
17.05.2022;K221219;syngo.CT CaScoring;Siemens Medical Solutions USA, Inc.;Radiology;JAK;K201034
13.05.2022;K220589;MAGNETOM Skyra Fit;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K203443
01.04.2022;K220151;MAGNETOM Avanto Fit;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K203443
25.02.2022;K213693;MAGNETOM Vida with syngo MR XA50A;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K203443
23.06.2022;K220497;CoLumbo;Smart Soft Healthcare AD;Radiology;QIH;K193290 K183268 K193267
25.08.2022;K211841;MRI Planner;Spectronic Medical AB;Radiology;MUJ;K193109 K182888 K201232
12.08.2022;K220349;TeraRecon Neuro;TeraRecon, Inc;Radiology;LLZ;K200750
17.06.2022;K220813;ART-PLAN;TheraPanacea;Radiology;QKB;K202700 K210632 K071964 K182888 K193109 K173635
25.10.2022;K222070;EndoNaut;Therenva SAS;Radiology;OWB;K212383
19.07.2022;K213357;Study Watch with Irregular Pulse Monitor (Home), Study Watch with Irregular Pulse Monitor;Verily Life Sciences LLC;Cardiovascular;DXH;K192415
21.04.2022;K213795;Videa Caries Assist;VideaHealth, Inc;Radiology;MYN;P980025
01.09.2022;K221241;DrAid for Radiology v1;VinBrain Joint Stock Company;Radiology;QFM;K190362
21.10.2022;K223042;Viz LVO ContaCT;Viz.ai, Inc.;Radiology;QAS;DEN170073
29.08.2022;K221100;Viz RV/LV;Viz.ai, Inc.;Radiology;QIH;K203256
25.07.2022;K220439;Viz SDH;Viz.ai, Inc.;Radiology;QAS;K210209
18.02.2022;K213319;Viz ANEURYSM, Viz ANX;Viz.ai, Inc.;Radiology;QFM;K193271
17.02.2022;K213689;Voluson P6, Voluson P8;GE Healthcare;Radiology;IYN;K180535 K201828
11.02.2022;K213603;SIGNA Artist Evo;GE Healthcare(Tianjin) Company Limited;Radiology;LNH;K202238 K202966
08.02.2022;K213165;Rapid;iSchema View Inc.;Radiology;LLZ;K211222 K182130
04.02.2022;K212654;Micro C Medical Imaging System, M01;OXOS Medical, Inc.;Radiology;IZL;K211473
04.02.2022;K213938;Revolution Ascend;GE Healthcare Japan Corporation;Radiology;JAK;K203169
03.02.2022;K213976;Contour ProtégéAI;MIM Software Inc.;Radiology;QKB;K210632 K071964
28.01.2022;K203260;syngo.CT Brain Hemorrhage;Siemens Medical Solutions USA, Inc.;Radiology;QAS;K182177
24.01.2022;K212333;Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5;Canon Medical Systems Corporation;Radiology;IYN;K201972
20.01.2022;K214019;syngo.CT Extended Functionality;Siemens Medical Solutions USA, Inc.;Radiology;JAK;K203699 K191468
20.01.2022;K213668;SIGNA Hero;GE Healthcare (GE Medical Systems, LLC);Radiology;LNH;K160621
19.01.2022;K210747;Caption Interpretation Automated Ejection Fraction Software;Caption Health;Radiology;QIH;K200621
19.01.2022;K212012;Follicle Clarity;Cycle Clarity;Radiology;QIH;K191647 K122327
16.01.2022;K211980;SIGNA Prime;GE Healthcare (Tianjin) Company Limited;Radiology;LNH;K143251 K193282
14.01.2022;K213307;Eclipse II with Smart Noise Cancellation;Carestream Health, Inc.;Radiology;MQB;K202441
14.01.2022;K210760;Precise Image;Philips Medical Systems Nederland, B.V.;Radiology;JAK;K180015 K162838
14.01.2022;K213737;Quantib ND;Quantib B.V.;Radiology;LLZ;K182564
13.01.2022;K213642;Voluson S6, Voluson S8, Voluson S8t, Voluson S10, Voluson S10 Expert;GE Healthcare;Radiology;IYN;K180374 K201828
12.01.2022;K212005;UNiD Spine Analyzer;MEDICREA International, Inc.;Radiology;LLZ;K180091
07.01.2022;K211443;AIBOLIT 3D+;AIbolit Technologies, LLC;Radiology;LLZ;K173274 K182643
06.01.2022;K213544;TOMTEC-ARENA;TOMTEC Imaging Systems GmbH;Radiology;QIH;K201632 K211597
29.12.2021;K213776;LiverSmart;Resonance Health Analysis Services Pty Ltd;Radiology;PCS;K182218 K213776 K201039
22.12.2021;K202404;BoneMRI;MRIguidance B.V;Radiology;QIH;K191688
21.12.2021;K210670;BU-CAD;TaiHao Medical Inc.;Radiology;QDQ;K181704 K170195 K190442
21.12.2021;K212690;qXR-BT;Qure.ai Technologies;Radiology;QIH;K123526
20.12.2021;K213275;EchoGo Core (2.0);Ultromics Limited;Radiology;QIH;K191171 K150122
16.12.2021;K212616;Koios DS;Koios Medical, Inc.;Radiology;POK;K190442
16.12.2021;K213628;VBrain;Vysioneer Inc.;Radiology;QKB;K203235 K212116
15.12.2021;K211803;HealthPPT;Zebra Medical Vision Ltd.;Radiology;QFM;K193300
15.12.2021;K213155;RT-Mind-AI;MedMind Technology Co., Ltd.;Radiology;QKB;K191928
09.12.2021;K212466;LVivo Seamless;DiA Imaging Analysis Ltd;Radiology;QIH;K202546
06.12.2021;K213096;Al-Rad Companion (Pulmonary);Siemens Medical Solutions USA, Inc.;Radiology;JAK;K183271 K203699
03.12.2021;K212219;AHI System;Fifth Eye Inc.;Cardiovascular;QNV;K200717
03.12.2021;K212442;Cydar EV (Series B) and Cydar EV Maps;Cydar Ltd.;Radiology;OWB;K160088 K141475
01.12.2021;K213305;Vantage Fortian 1.5T, MRT-1550, V8.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K211633 K202210 K210164
26.11.2021;K211541;MammoScreen 2.0;Therapixel;Radiology;QDQ;K192854
19.11.2021;K211326;EndoScreener;Chengdu Wision Medical Device Co., LTD.;Gastroenterology-Urology;QNP;K211326
19.11.2021;K210831;OnQ Neuro;CorTechs Labs, Inc;Radiology;QIH;K162955
17.11.2021;K212336;Soteria.AI;Omega Medical Imaging, LLC;Radiology;OWB;K182834
17.11.2021;K212456;Swoop Point-of-Care Magnetic Resonance Imaging (POC MRI) Scanner System;Hyperfine, Inc.;Radiology;LNH;K201722 K211818
17.11.2021;K211678;Lunit INSIGHT MMG;Lunit Inc.;Radiology;QDQ;K192287
16.11.2021;K212265;TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite Diagnostic Ultrasound System, TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System;Shenzhen Mindray Bio-Medical Electronics Co.,LTD;Radiology;IYN;K203391 K210699 K200001 K210416 K202785
15.11.2021;K213436;Clarius Ultrasound Scanner;Clarius Mobile Health Corp.;Radiology;IYN;K192107
10.11.2021;K211733;Lunit INSIGHT CXR Triage;Lunit Inc.;Radiology;QFM;K192320 K183182
03.11.2021;K210543;IM007;Implicity, Inc.;Cardiovascular;DQK;K170568 K163460
29.10.2021;K211161;Critical Care Suite with Endotracheal Tube Positing AI algorithm;GE Medical Systems, LLC;Radiology;QIH;K191647
25.10.2021;K212218;Advanced Algorithms for Treatment Management Applications (AATMA);Elekta Solutions AB;Radiology;QKB;K181572
22.10.2021;K210807;FlightPlan for Liver;GE Medical Systems SCS;Radiology;LLZ;K121200 K193261
22.10.2021;K212516;IRNF App;Apple Inc.;Cardiovascular;QDB;K180042
20.10.2021;K210632;Contour ProtegeAI;MIM Software Inc.;Radiology;QKB;K193252 K071964
14.10.2021;K212261;StrokeSENS LVO;Circle Neurovascular Imaging, Inc;Radiology;QAS;K170073
14.10.2021;K210999;SwiftMR;AIRS Medical Inc.;Radiology;LLZ;K191688
12.10.2021;K212116;VBrain-OAR;Vysioneer Inc.;Radiology;QKB;K191928 K113732
02.10.2021;K202927;EYE-SYNC;SyncThink, Inc.;Neurology;QEA;K170091 K152915 K151504
28.09.2021;K211964;SubtlePET;Subtle Medical, Inc.;Radiology;KPS;K182336
24.09.2021;K212704;Philips EPIQ Diagnostic Ultrasound System, Philips Affiniti Diagnostic Ultrasound System;Philips Medical Systems;Radiology;IYN;K202216 K201012 K161843
17.09.2021;K212067;Deep Learning Image Reconstruction;GE Healthcare Japan Corporation;Radiology;JAK;K193170 K133640 K203169
17.09.2021;K212269;Intelligent NR;Canon Inc.;Radiology;MQB;K190368
15.09.2021;K210085;HealthCCSng;Zebra Medical Vision Ltd.;Radiology;JAK;K172983 K183268
10.09.2021;K203785;ClariSIGMAM;ClariPi Inc.;Radiology;QIH;K170540 K132742
10.09.2021;K210438;Versana Premier;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K200138 K200998 K191798 K181783 K073297 K202132K141675 K180374 K092079
10.09.2021;K211828;Aquilion Exceed LB;Canon Medical Systems Corporation;Radiology;JAK;K203042
09.09.2021;K211824;HERA W9, HERA W10 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K192319 K192903 K201828
08.09.2021;K211867;RayStation 11.0;RaySearch Laboratories AB (publ);Radiology;MUJ;K210645
08.09.2021;K211945;V8 Diagnostic Ultrasound System;Samsung Medison CO., LTD.;Radiology;IYN;K192903 K192319 K210426 K200232 K142466
08.09.2021;K203555;AmCAD-UT;AmCad BioMed Corporation;Radiology;QIH;K180006
08.09.2021;K211597;EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System;Philips Medical Systems;Radiology;IYN;K202216 K201012 K200974
02.09.2021;K211881;AI Segmentation;Varian Medical Systems, Inc.;Radiology;MUJ;K203469
31.08.2021;K201560;Auto Lung Nodule Detection;Samsung Electronics Co.,Ltd.;Radiology;MYN;P000041
31.08.2021;K212383;EndoNaut;Therenva SAS;Radiology;OWB;K171829 K160088 K160376
